,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Vote weight,Party
65,NY,New York,Union,1832,42.0,323393,194036.0,25.33,70.17,7700.0,0.6,Democrat
66,NC,North Carolina,Confederate,1832,15.0,29799,69134.0,2.33,6.47,1987.0,2.32,Democrat
67,OH,Ohio,Union,1832,21.0,158294,96559.0,12.4,34.34,7538.0,0.61,Democrat
68,PA,Pennsylvania,Union,1832,30.0,158638,138015.0,12.43,34.42,5288.0,0.87,Democrat
69,RI,Rhode Island,Union,1832,4.0,4936,18411.0,0.39,1.07,1234.0,3.73,National Republican
70,SC,South Carolina,Confederate,1832,11.0,0,,0.0,0.0,0.0,,Nullifier
71,TN,Tennessee,Confederate,1832,15.0,29425,69149.0,2.3,6.38,1962.0,2.35,Democrat
72,VT,Vermont,Union,1832,7.0,32128,32128.0,2.52,6.97,4590.0,1.0,Anti-Masonic
73,VA,Virginia,Confederate,1832,23.0,45682,105982.0,3.58,9.91,1986.0,2.32,Democrat
74,,,Postbellum,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,
75,AL,Alabama,Confederate,1836,7.0,37296,37296.0,2.48,7.02,5328.0,1.0,Democrat
76,AR,Arkansas,Confederate,1836,3.0,3714,15933.0,0.25,0.7,1238.0,4.29,Democrat
77,CT,Connecticut,Union,1836,8.0,38093,42664.0,2.53,7.17,4762.0,1.12,Democrat
78,DE,Delaware,Border,1836,3.0,8895,15922.0,0.59,1.68,2965.0,1.79,Whig-Harrison
79,GA,Georgia,Confederate,1836,11.0,47259,58601.0,3.14,8.9,4296.0,1.24,Whig-White
80,IL,Illinois,Union,1836,5.0,33589,26535.0,2.24,6.33,6718.0,0.79,Democrat
81,IN,Indiana,Union,1836,9.0,73759,47943.0,4.91,13.89,8195.0,0.65,Whig-Harrison
82,KY,Kentucky,Border,1836,15.0,70090,79903.0,4.66,13.2,4673.0,1.14,Whig-Harrison
83,LA,Louisiana,Confederate,1836,5.0,7425,26582.0,0.49,1.4,1485.0,3.58,Democrat
84,ME,Maine,Union,1836,10.0,38740,53074.0,2.58,7.3,3874.0,1.37,Democrat
85,MD,Maryland,Border,1836,10.0,48119,52931.0,3.2,9.06,4812.0,1.1,Whig-Harrison
86,MA,Massachusetts,Union,1836,14.0,74687,74687.0,4.97,14.07,5335.0,1.0,Whig-Webster
87,MI,Michigan,Union,1836,3.0,12667,15960.0,0.84,2.39,4222.0,1.26,Democrat
88,MS,Mississippi,Confederate,1836,4.0,20079,21284.0,1.34,3.78,5020.0,1.06,Democrat
89,MO,Missouri,Border,1836,4.0,18332,21265.0,1.22,3.45,4583.0,1.16,Democrat
90,NH,New Hampshire,Union,1836,7.0,24925,37138.0,1.66,4.69,3561.0,1.49,Democrat
