,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
123,South,1920,165.0,5019647,8332614.0,18.75,99.59,30422.0,1.66,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
124,West,1920,26.0,1634818,1307854.0,6.11,32.43,62878.0,0.8,3,"CA,CO,WA"
125,Midwest,1924,157.0,11993630,8635414.0,41.22,218.87,76393.0,0.72,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
126,Northeast,1924,128.0,8217192,6984613.0,28.24,149.96,64197.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
127,Small,1924,55.0,2024443,3016420.0,6.96,36.94,36808.0,1.49,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
128,South,1924,165.0,4816133,9054330.0,16.55,87.89,29189.0,1.88,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
129,West,1924,26.0,2045709,1431996.0,7.03,37.33,78681.0,0.7,3,"CA,CO,WA"
130,Midwest,1928,157.0,14167592,10909046.0,38.49,204.39,90239.0,0.77,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
131,Northeast,1928,128.0,11497456,8853041.0,31.24,165.87,89824.0,0.77,6,"CT,ME,MA,NJ,NY,PA"
132,Small,1928,55.0,2343479,3819871.0,6.37,33.81,42609.0,1.63,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
133,South,1928,165.0,6108747,11423357.0,16.6,88.13,37023.0,1.87,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
134,West,1928,26.0,2689738,1802124.0,7.31,38.8,103451.0,0.67,3,"CA,CO,WA"
135,Midwest,1932,153.0,15385693,11385413.0,38.7,205.52,100560.0,0.74,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
136,Northeast,1932,124.0,11351595,9308308.0,28.56,151.63,91545.0,0.82,5,"CT,MA,NJ,NY,PA"
137,Small,1932,56.0,2951482,4191104.0,7.42,39.43,52705.0,1.42,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
138,South,1932,162.0,6722652,12100774.0,16.91,89.8,41498.0,1.8,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
139,West,1932,36.0,3340476,2705786.0,8.4,44.62,92791.0,0.81,3,"CA,CO,WA"
140,Midwest,1936,153.0,17258046,13116115.0,37.81,200.75,112798.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
141,Northeast,1936,124.0,14086341,10705619.0,30.86,163.86,113600.0,0.76,5,"CT,MA,NJ,NY,PA"
142,Small,1936,56.0,3176408,4828140.0,6.96,36.95,56722.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
143,South,1936,162.0,7307370,13957077.0,16.01,85.0,45107.0,1.91,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
144,West,1936,36.0,3819904,3094122.0,8.37,44.44,106108.0,0.81,3,"CA,CO,WA"
145,Midwest,1940,153.0,18588567,14313197.0,37.25,197.8,121494.0,0.77,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
146,Northeast,1940,124.0,15163019,11675525.0,30.39,161.35,122282.0,0.77,5,"CT,MA,NJ,NY,PA"
147,Small,1940,56.0,3456856,5254421.0,6.93,36.78,61730.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
148,South,1940,162.0,8082043,15194241.0,16.2,86.0,49889.0,1.88,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
149,West,1940,36.0,4611628,3366488.0,9.24,49.07,128101.0,0.73,3,"CA,CO,WA"
150,Midwest,1944,147.0,17453087,13264346.0,36.38,193.17,118728.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
151,Northeast,1944,122.0,14867999,11002319.0,30.99,164.56,121869.0,0.74,5,"CT,MA,NJ,NY,PA"
152,Small,1944,53.0,2637698,4800610.0,5.5,29.19,49768.0,1.82,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
153,South,1944,164.0,7655890,14852427.0,15.96,84.73,46682.0,1.94,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
154,West,1944,45.0,5362389,4075416.0,11.18,59.35,119164.0,0.76,4,"CA,CO,OR,WA"
155,Midwest,1948,147.0,17069617,13484997.0,34.98,185.76,116120.0,0.79,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
156,Northeast,1948,122.0,14852704,11139528.0,30.44,161.64,121743.0,0.75,5,"CT,MA,NJ,NY,PA"
