,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
96,Midwest,1888,129.0,4475022,3669518.0,39.29,157.57,34690.0,0.82,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
97,Northeast,1888,101.0,3247591,2857880.0,28.52,114.35,32154.0,0.88,6,"CT,ME,MA,NJ,NY,PA"
98,Small,1888,33.0,662035,940090.0,5.81,23.31,20062.0,1.42,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
99,South,1888,130.0,2752859,3688831.0,24.17,96.93,21176.0,1.34,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
100,West,1888,8.0,251339,226205.0,2.21,8.85,31417.0,0.9,1,CA
101,Nat'l Average,1888,401.0,11388846,11388846.0,100.0,401.0,28401.0,1.0,38,All 38
102,Midwest,1892,145.0,4892127,3962623.0,40.54,179.99,33739.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
103,Northeast,1892,105.0,3349500,2847075.0,27.76,123.23,31900.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
104,Small,1892,50.0,729490,1356851.0,6.04,26.84,14590.0,1.86,14,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,VT,WA,WY"
105,South,1892,135.0,2827301,3675491.0,23.43,104.02,20943.0,1.3,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
106,West,1892,9.0,269609,245344.0,2.23,9.92,29957.0,0.91,1,CA
107,Nat'l Average,1892,444.0,12068027,12068027.0,100.0,444.0,27180.0,1.0,44,All 44
108,Midwest,1896,145.0,5830221,4547572.0,41.83,186.97,40208.0,0.78,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
109,Northeast,1896,105.0,3683819,3278599.0,26.43,118.14,35084.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
110,Small,1896,53.0,990599,1654300.0,7.11,31.77,18691.0,1.67,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
111,South,1896,135.0,3135616,4201725.0,22.5,100.56,23227.0,1.34,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
112,West,1896,9.0,298419,280514.0,2.14,9.57,33158.0,0.94,1,CA
113,Nat'l Average,1896,447.0,13938674,13938674.0,100.0,447.0,31183.0,1.0,45,All 45
114,Midwest,1900,145.0,5948462,4520831.0,42.5,189.96,41024.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
115,Northeast,1900,105.0,3822994,3287775.0,27.31,122.09,36409.0,0.86,6,"CT,ME,MA,NJ,NY,PA"
116,Small,1900,53.0,1129127,1659817.0,8.07,36.06,21304.0,1.47,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
117,South,1900,135.0,2794528,4219737.0,19.96,89.24,20700.0,1.51,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
118,West,1900,9.0,302318,281156.0,2.16,9.65,33591.0,0.93,1,CA
119,Nat'l Average,1900,447.0,13997429,13997429.0,100.0,447.0,31314.0,1.0,45,All 45
120,Midwest,1904,152.0,5708652,4338576.0,42.21,200.91,37557.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
