,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
2058,FL,Florida,Confederate,2020,29.0,11067456,6.99,37.59,381636.0,0.77,Republican
2059,GA,Georgia,Confederate,2020,16.0,4997716,3.16,16.98,312357.0,0.94,Democrat
2060,HI,Hawaii,West,2020,4.0,574469,0.36,1.95,143617.0,2.05,Democrat
2061,ID,Idaho,West,2020,4.0,867884,0.55,2.95,216971.0,1.36,Republican
2062,IL,Illinois,Midwest,2020,20.0,6033744,3.81,20.5,301687.0,0.98,Democrat
2063,IN,Indiana,Midwest,2020,11.0,3033112,1.92,10.3,275737.0,1.07,Republican
2064,IA,Iowa,Midwest,2020,6.0,1690871,1.07,5.74,281812.0,1.04,Republican
2065,KS,Kansas,Midwest,2020,6.0,1372303,0.87,4.66,228717.0,1.29,Republican
2066,KY,Kentucky,Border,2020,8.0,2136768,1.35,7.26,267096.0,1.1,Republican
2067,LA,Louisiana,Confederate,2020,8.0,2148062,1.36,7.3,268508.0,1.1,Republican
2068,MD,Maryland,Border,2020,10.0,3037030,1.92,10.32,303703.0,0.97,Democrat
2069,MA,Massachusetts,Northeast,2020,11.0,3631402,2.29,12.34,330127.0,0.89,Democrat
2070,MI,Michigan,Midwest,2020,16.0,5539302,3.5,18.82,346206.0,0.85,Democrat
2071,MN,Minnesota,Midwest,2020,10.0,3277171,2.07,11.13,327717.0,0.9,Democrat
2072,MS,Mississippi,Confederate,2020,6.0,1313894,0.83,4.46,218982.0,1.34,Republican
2073,MO,Missouri,Border,2020,10.0,3025962,1.91,10.28,302596.0,0.97,Republican
2074,MT,Montana,West,2020,3.0,603674,0.38,2.05,201225.0,1.46,Republican
2075,NV,Nevada,West,2020,6.0,1405376,0.89,4.77,234229.0,1.26,Democrat
2076,NH,New Hampshire,Northeast,2020,4.0,806182,0.51,2.74,201546.0,1.46,Democrat
2077,NJ,New Jersey,Northeast,2020,14.0,4549353,2.87,15.45,324954.0,0.91,Democrat
2078,NM,New Mexico,West,2020,5.0,923965,0.58,3.14,184793.0,1.59,Democrat
2079,NY,New York,Northeast,2020,29.0,8594826,5.43,29.2,296373.0,0.99,Democrat
2080,NC,North Carolina,Confederate,2020,15.0,5524804,3.49,18.77,368320.0,0.8,Republican
2081,ND,North Dakota,Midwest,2020,3.0,361819,0.23,1.23,120606.0,2.44,Republican
2082,OH,Ohio,Midwest,2020,18.0,5922202,3.74,20.12,329011.0,0.89,Republican
2083,OK,Oklahoma,West,2020,7.0,1560699,0.99,5.3,222957.0,1.32,Republican
2084,OR,Oregon,West,2020,7.0,2374321,1.5,8.07,339189.0,0.87,Democrat
2085,PA,Pennsylvania,Northeast,2020,20.0,6915283,4.37,23.49,345764.0,0.85,Democrat
2086,RI,Rhode Island,Northeast,2020,4.0,517757,0.33,1.76,129439.0,2.27,Democrat
2087,SC,South Carolina,Confederate,2020,9.0,2513329,1.59,8.54,279259.0,1.05,Republican
2088,SD,South Dakota,Midwest,2020,3.0,422609,0.27,1.44,140870.0,2.09,Republican
2089,TN,Tennessee,Confederate,2020,11.0,3053851,1.93,10.37,277623.0,1.06,Republican
2090,TX,Texas,Confederate,2020,38.0,11315056,7.14,38.44,297765.0,0.99,Republican
2091,UT,Utah,West,2020,6.0,1488289,0.94,5.06,248048.0,1.19,Republican
2092,VT,Vermont,Northeast,2020,3.0,367428,0.23,1.25,122476.0,2.4,Democrat
2093,VA,Virginia,Confederate,2020,13.0,4460524,2.82,15.15,343117.0,0.86,Democrat
2094,WA,Washington,West,2020,12.0,4087631,2.58,13.89,340636.0,0.86,Democrat
2095,WV,West Virginia,Border,2020,5.0,794731,0.5,2.7,158946.0,1.85,Republican
2096,WI,Wisconsin,Midwest,2020,10.0,3298041,2.08,11.2,329804.0,0.89,Democrat
2097,WY,Wyoming,West,2020,3.0,276765,0.17,0.94,92255.0,3.19,Republican
