,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
152,Postbellum,1948,30.0,2630835,2762377.0,5.39,28.63,87694.0,1.05,4,"CO,NE,OK,WA"
153,Small,1948,53.0,2800274,4872477.0,5.74,30.47,52835.0,1.74,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
154,Union,1948,279.0,34400371,25800278.0,70.5,374.36,123299.0,0.75,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
155,Border,1952,40.0,4660832,4660832.0,7.55,40.08,116521.0,1.0,4,"KY,MD,MO,WV"
156,Confederate,1952,128.0,8553728,14883487.0,13.85,73.55,66826.0,1.74,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
157,Postbellum,1952,29.0,3291455,3357284.0,5.33,28.3,113498.0,1.02,4,"CO,NE,OK,WA"
158,Small,1952,53.0,3512667,6147167.0,5.69,30.21,66277.0,1.75,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
159,Union,1952,281.0,41733260,32551943.0,67.58,358.86,148517.0,0.78,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
160,Border,1956,40.0,4649549,4649549.0,7.5,39.81,116239.0,1.0,4,"KY,MD,MO,WV"
161,Confederate,1956,128.0,8615765,14991431.0,13.89,73.76,67311.0,1.74,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
162,Postbellum,1956,29.0,3250450,3380468.0,5.24,27.83,112084.0,1.04,4,"CO,NE,OK,WA"
163,Small,1956,53.0,3528193,6174338.0,5.69,30.21,66570.0,1.75,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
164,Union,1956,281.0,41977371,32742349.0,67.68,359.39,149386.0,0.78,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
165,Border,1960,40.0,4952014,5150095.0,7.19,38.63,123800.0,1.04,4,"KY,MD,MO,WV"
166,Confederate,1960,128.0,10266143,16425829.0,14.91,80.09,80204.0,1.6,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
167,Postbellum,1960,29.0,3494063,3703707.0,5.08,27.26,120485.0,1.06,4,"CO,NE,OK,WA"
168,Small,1960,59.0,4227840,7567834.0,6.14,32.98,71658.0,1.79,16,"AK,AZ,DE,HI,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
169,Union,1960,281.0,45892422,35796089.0,66.67,358.03,163318.0,0.78,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
170,Border,1964,38.0,4772481,5011105.0,6.76,36.35,125592.0,1.05,4,"KY,MD,MO,WV"
171,Confederate,1964,128.0,12312262,16867799.0,17.43,93.77,96190.0,1.37,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
172,Postbellum,1964,23.0,2968041,3027402.0,4.2,22.61,129045.0,1.02,3,"CO,OK,WA"
173,Small,1964,68.0,5088296,8904518.0,7.2,38.75,74828.0,1.75,18,"AK,AZ,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
174,Union,1964,281.0,45498204,36853545.0,64.41,346.52,161915.0,0.81,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
175,Border,1968,38.0,4854640,5194465.0,6.63,35.68,127754.0,1.07,4,"KY,MD,MO,WV"
176,Confederate,1968,128.0,14793526,17456361.0,20.21,108.73,115574.0,1.18,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
177,Postbellum,1968,23.0,3058566,3119737.0,4.18,22.48,132981.0,1.02,3,"CO,OK,WA"
178,Small,1968,68.0,5090628,9264943.0,6.95,37.41,74862.0,1.82,18,"AK,AZ,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
179,Union,1968,281.0,45402638,38138216.0,62.03,333.7,161575.0,0.84,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
180,Border,1972,37.0,5036299,5338477.0,6.48,34.85,136116.0,1.06,4,"KY,MD,MO,WV"
181,Confederate,1972,130.0,15436675,18832744.0,19.86,106.82,118744.0,1.22,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
182,Postbellum,1972,30.0,4108136,4354624.0,5.28,28.43,136938.0,1.06,4,"AZ,CO,OK,WA"
183,Small,1972,62.0,5102454,8980319.0,6.56,35.31,82298.0,1.76,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
184,Union,1972,279.0,48060463,40370789.0,61.82,332.58,172260.0,0.84,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
185,Border,1976,37.0,5303689,5621910.0,6.51,35.0,143343.0,1.06,4,"KY,MD,MO,WV"
186,Confederate,1976,130.0,18343958,19628035.0,22.5,121.05,141107.0,1.07,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
187,Postbellum,1976,30.0,4471639,4561072.0,5.48,29.51,149055.0,1.02,4,"AZ,CO,OK,WA"
188,Small,1976,62.0,5432503,9398230.0,6.66,35.85,87621.0,1.73,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
189,Union,1976,279.0,47979795,42222220.0,58.85,316.6,171971.0,0.88,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
190,Border,1980,37.0,5672662,5956295.0,6.56,35.28,153315.0,1.05,4,"KY,MD,MO,WV"
