,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
106,Postbellum,1868,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
107,Nat'l Average,1868,291.0,5722440,5722440.0,100.0,291.0,19665.0,1.0,34,33 of 34 held popular vote
108,Border,1872,35.0,598641,616600.0,9.25,33.85,17104.0,1.03,3,"KY,MD,MO"
109,Confederate,1872,91.0,1387521,1609524.0,21.44,78.47,15247.0,1.16,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
110,Small,1872,45.0,510518,796408.0,7.89,28.87,11345.0,1.56,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
111,Union,1872,195.0,3975303,3458514.0,61.42,224.81,20386.0,0.87,13,"CA,CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
112,Postbellum,1872,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
113,Nat'l Average,1872,366.0,6471983,6471983.0,100.0,366.0,17683.0,1.0,37,37 of 37 held popular vote
114,Border,1876,35.0,774995,805995.0,9.21,33.69,22143.0,1.04,3,"KY,MD,MO"
115,Confederate,1876,91.0,1785114,2088583.0,21.2,77.61,19617.0,1.17,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
116,Small,1876,45.0,688986,1033479.0,8.18,29.95,15311.0,1.5,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
117,Union,1876,195.0,5169564,4497521.0,61.41,224.74,26511.0,0.87,13,"CA,CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
118,Postbellum,1876,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
119,Nat'l Average,1876,366.0,8418659,8418659.0,100.0,366.0,23002.0,1.0,38,37 of 38 held popular vote
120,Border,1880,35.0,840454,874072.0,9.12,33.64,24013.0,1.04,3,"KY,MD,MO"
121,Confederate,1880,91.0,1744765,2268194.0,18.92,69.83,19173.0,1.3,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
122,Small,1880,48.0,926810,1195585.0,10.05,37.09,19309.0,1.29,12,"CO,DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
123,Union,1880,195.0,5709152,4852779.0,61.92,228.5,29278.0,0.85,13,"CA,CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
124,Postbellum,1880,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
125,Nat'l Average,1880,369.0,9219477,9219477.0,100.0,369.0,24985.0,1.0,38,All 38
126,Border,1884,43.0,1035913,1077350.0,10.3,41.29,24091.0,1.04,4,"KY,MD,MO,WV"
127,Confederate,1884,103.0,1884528,2581803.0,18.73,75.12,18296.0,1.37,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
128,Small,1884,33.0,532932,826045.0,5.3,21.24,16149.0,1.55,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
129,Union,1884,222.0,6606772,5549688.0,65.67,263.34,29760.0,0.84,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
130,Postbellum,1884,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
131,Nat'l Average,1884,401.0,10060145,10060145.0,100.0,401.0,25088.0,1.0,38,All 38
132,Border,1888,43.0,1236609,1224243.0,10.86,43.54,28758.0,0.99,4,"KY,MD,MO,WV"
133,Confederate,1888,103.0,2037610,2934158.0,17.89,71.74,19783.0,1.44,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
134,Small,1888,33.0,662035,940090.0,5.81,23.31,20062.0,1.42,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
135,Union,1888,222.0,7452592,6334703.0,65.44,262.41,33570.0,0.85,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
136,Postbellum,1888,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
137,Nat'l Average,1888,401.0,11388846,11388846.0,100.0,401.0,28401.0,1.0,38,All 38
138,Border,1892,44.0,1266801,1190793.0,10.5,46.61,28791.0,0.94,4,"KY,MD,MO,WV"
139,Confederate,1892,108.0,2102083,2942916.0,17.42,77.34,19464.0,1.4,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
140,Postbellum,1892,8.0,200192,218209.0,1.66,7.37,25024.0,1.09,1,NE
141,Small,1892,50.0,729490,1356851.0,6.04,26.84,14590.0,1.86,14,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,VT,WA,WY"
142,Union,1892,234.0,7769461,6370958.0,64.38,285.85,33203.0,0.82,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
143,Nat'l Average,1892,444.0,12068027,12068027.0,100.0,444.0,27180.0,1.0,44,All 44
144,Border,1896,44.0,1571840,1367501.0,11.28,50.41,35724.0,0.87,4,"KY,MD,MO,WV"
145,Confederate,1896,108.0,2237682,3378900.0,16.05,71.76,20719.0,1.51,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
146,Postbellum,1896,8.0,223182,249964.0,1.6,7.16,27898.0,1.12,1,NE
147,Small,1896,53.0,990599,1654300.0,7.11,31.77,18691.0,1.67,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
148,Union,1896,234.0,8915371,7310604.0,63.96,285.9,38100.0,0.82,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
149,Nat'l Average,1896,447.0,13938674,13938674.0,100.0,447.0,31183.0,1.0,45,All 45
150,Border,1900,44.0,1637151,1375207.0,11.7,52.28,37208.0,0.84,4,"KY,MD,MO,WV"
151,Confederate,1900,108.0,1841033,3387501.0,13.15,58.79,17047.0,1.84,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
152,Postbellum,1900,8.0,241430,251087.0,1.72,7.71,30179.0,1.04,1,NE
153,Small,1900,53.0,1129127,1659817.0,8.07,36.06,21304.0,1.47,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
154,Union,1900,234.0,9148688,7318950.0,65.36,292.16,39097.0,0.8,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
155,Nat'l Average,1900,447.0,13997429,13997429.0,100.0,447.0,31314.0,1.0,45,All 45
156,Border,1904,46.0,1544022,1312419.0,11.42,54.34,33566.0,0.85,4,"KY,MD,MO,WV"
157,Confederate,1904,115.0,1338925,3266977.0,9.9,47.12,11643.0,2.44,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
158,Postbellum,1904,8.0,225732,227989.0,1.67,7.94,28216.0,1.01,1,NE
159,Small,1904,57.0,1225164,1617216.0,9.06,43.12,21494.0,1.32,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
160,Union,1904,250.0,9191252,7077264.0,67.96,323.48,36765.0,0.77,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
161,Nat'l Average,1904,476.0,13525095,13525095.0,100.0,476.0,28414.0,1.0,45,All 45
