,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
61,Confederate,1888,107.0,2104110,18.48,74.09,19665.0,1.44,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
62,Union,1888,226.0,7398315,64.96,260.49,32736.0,0.87,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
63,West,1888,22.0,620048,5.44,21.83,28184.0,1.01,5,"CA,CO,NE,NV,OR"
64,Border,1892,47.0,1304036,10.81,47.98,27745.0,0.98,5,"DE,KY,MD,MO,WV"
65,Confederate,1892,112.0,2137554,17.71,78.64,19085.0,1.42,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
66,Union,1892,237.0,7698173,63.79,283.23,32482.0,0.84,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
67,West,1892,48.0,928264,7.69,34.15,19339.0,1.41,11,"CA,CO,ID,MT,NE,NV,ND,OR,SD,WA,WY"
68,Border,1896,47.0,1610296,11.55,51.64,34262.0,0.91,5,"DE,KY,MD,MO,WV"
69,Confederate,1896,112.0,2284170,16.39,73.25,20394.0,1.53,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
70,Union,1896,237.0,8819254,63.27,282.82,37212.0,0.84,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
71,West,1896,51.0,1224954,8.79,39.28,24019.0,1.3,12,"CA,CO,ID,MT,NE,NV,ND,OR,SD,UT,WA,WY"
72,Border,1900,47.0,1679140,12.0,53.62,35726.0,0.88,5,"DE,KY,MD,MO,WV"
73,Confederate,1900,112.0,1880682,13.44,60.06,16792.0,1.86,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
74,Union,1900,237.0,9051494,64.67,289.06,38192.0,0.82,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
75,West,1900,51.0,1386113,9.9,44.26,27179.0,1.15,12,"CA,CO,ID,MT,NE,NV,ND,OR,SD,UT,WA,WY"
76,Border,1904,49.0,1587878,11.74,55.88,32406.0,0.88,5,"DE,KY,MD,MO,WV"
77,Confederate,1904,120.0,1377630,10.19,48.48,11480.0,2.48,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
78,Union,1904,252.0,9070079,67.06,319.21,35992.0,0.79,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
79,West,1904,55.0,1489508,11.01,52.42,27082.0,1.05,12,"CA,CO,ID,MT,NE,NV,ND,OR,SD,UT,WA,WY"
80,Border,1908,49.0,1751289,11.76,56.81,35741.0,0.86,5,"DE,KY,MD,MO,WV"
81,Confederate,1908,120.0,1587794,10.66,51.51,13232.0,2.33,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
82,Union,1908,252.0,9536988,64.05,309.37,37845.0,0.81,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
83,West,1908,62.0,2015102,13.53,65.37,32502.0,0.95,13,"CA,CO,ID,MT,NE,NV,ND,OK,OR,SD,UT,WA,WY"
84,Border,1912,50.0,1700783,11.31,60.03,34016.0,0.83,5,"DE,KY,MD,MO,WV"
85,Confederate,1912,126.0,1547255,10.28,54.61,12280.0,2.31,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
86,Union,1912,272.0,9256335,61.53,326.71,34031.0,0.83,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
87,West,1912,83.0,2539910,16.88,89.65,30601.0,0.93,15,"AZ,CA,CO,ID,MT,NE,NV,NM,ND,OK,OR,SD,UT,WA,WY"
88,Border,1916,50.0,1910548,10.31,54.73,38211.0,0.91,5,"DE,KY,MD,MO,WV"
89,Confederate,1916,126.0,1872379,10.1,53.64,14860.0,2.35,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
90,Union,1916,272.0,11327232,61.11,324.48,41644.0,0.84,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
91,West,1916,83.0,3426426,18.48,98.15,41282.0,0.85,15,"AZ,CA,CO,ID,MT,NE,NV,NM,ND,OK,OR,SD,UT,WA,WY"
92,Border,1920,50.0,3284768,12.27,65.17,65695.0,0.77,5,"DE,KY,MD,MO,WV"
93,Confederate,1920,126.0,2675944,10.0,53.09,21238.0,2.37,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
94,Union,1920,272.0,16959442,63.36,336.46,62351.0,0.81,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
95,West,1920,83.0,3845026,14.37,76.28,46326.0,1.09,15,"AZ,CA,CO,ID,MT,NE,NV,NM,ND,OK,OR,SD,UT,WA,WY"
96,Border,1924,50.0,3156467,10.85,57.6,63129.0,0.87,5,"DE,KY,MD,MO,WV"
97,Confederate,1924,126.0,2530094,8.7,46.17,20080.0,2.73,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
98,Union,1924,272.0,18916492,65.01,345.21,69546.0,0.79,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
99,West,1924,83.0,4494054,15.45,82.01,54145.0,1.01,15,"AZ,CA,CO,ID,MT,NE,NV,NM,ND,OK,OR,SD,UT,WA,WY"
100,Border,1928,50.0,3718316,10.1,53.64,74366.0,0.93,5,"DE,KY,MD,MO,WV"
101,Confederate,1928,126.0,3378616,9.18,48.74,26814.0,2.59,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
102,Union,1928,272.0,24186325,65.71,348.93,88920.0,0.78,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
103,West,1928,83.0,5523755,15.01,79.69,66551.0,1.04,15,"AZ,CA,CO,ID,MT,NE,NV,NM,ND,OK,OR,SD,UT,WA,WY"
104,Border,1932,45.0,3960686,9.96,52.91,88015.0,0.85,5,"DE,KY,MD,MO,WV"
105,Confederate,1932,124.0,3780128,9.51,50.49,30485.0,2.46,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
106,Union,1932,271.0,25464371,64.06,340.15,93964.0,0.8,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
107,West,1932,91.0,6546713,16.47,87.45,71942.0,1.04,15,"AZ,CA,CO,ID,MT,NE,NV,NM,ND,OK,OR,SD,UT,WA,WY"
108,Border,1936,45.0,4337282,9.5,50.45,96384.0,0.89,5,"DE,KY,MD,MO,WV"
109,Confederate,1936,124.0,4176586,9.15,48.58,33682.0,2.55,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
110,Union,1936,271.0,29884950,65.47,347.64,110277.0,0.78,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
