,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
175,Midwest,1940,161.0,19177769,15150438.0,38.43,204.07,119117.0,0.79,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
176,Northeast,1940,140.0,16183488,13108625.0,32.43,172.21,115596.0,0.81,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
177,South,1940,165.0,8218417,15532808.0,16.47,87.45,49809.0,1.89,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
178,West,1940,65.0,6322439,6132766.0,12.67,67.28,97268.0,0.97,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
179,Nat'l Average,1940,531.0,49902113,49902113.0,100.0,531.0,93978.0,1.0,48,All 47
180,Midwest,1944,155.0,17905334,13966161.0,37.32,198.17,115518.0,0.78,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
181,Northeast,1944,138.0,15818661,12496742.0,32.97,175.08,114628.0,0.79,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
182,South,1944,167.0,7781251,15095627.0,16.22,86.12,46594.0,1.94,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
183,West,1944,71.0,6471817,6407099.0,13.49,71.63,91152.0,0.99,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
184,Nat'l Average,1944,531.0,47977063,47977063.0,100.0,531.0,90352.0,1.0,48,All 47
185,Midwest,1948,155.0,17540438,14207755.0,35.95,190.89,113164.0,0.81,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
186,Northeast,1948,138.0,15800015,12640012.0,32.38,171.94,114493.0,0.8,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
187,South,1948,167.0,8244099,15334024.0,16.9,89.72,49366.0,1.86,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
188,West,1948,71.0,7208983,6560175.0,14.77,78.45,101535.0,0.91,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
189,Nat'l Average,1948,531.0,48793535,48793535.0,100.0,531.0,91890.0,1.0,48,All 47
190,Midwest,1952,153.0,21153657,17769072.0,34.26,181.9,138259.0,0.84,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
191,Northeast,1952,133.0,18801864,15417528.0,30.45,161.68,141367.0,0.82,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
192,South,1952,166.0,12445507,19290536.0,20.15,107.02,74973.0,1.55,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
193,West,1952,79.0,9350914,9163896.0,15.14,80.41,118366.0,0.98,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
194,Nat'l Average,1952,531.0,61751942,61751942.0,100.0,531.0,116294.0,1.0,48,All 47
195,Midwest,1956,153.0,21113664,17946614.0,34.04,180.77,137998.0,0.85,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
196,Northeast,1956,133.0,18778589,15586229.0,30.28,160.77,141192.0,0.83,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
197,South,1956,166.0,12470090,19328640.0,20.11,106.76,75121.0,1.55,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
198,West,1956,79.0,9658985,9272626.0,15.57,82.7,122266.0,0.96,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
199,Nat'l Average,1956,531.0,62021328,62021328.0,100.0,531.0,116801.0,1.0,48,All 47
200,Midwest,1960,153.0,22978764,19531949.0,33.38,179.27,150188.0,0.85,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
201,Northeast,1960,133.0,20053481,17045459.0,29.13,156.45,150778.0,0.85,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
202,South,1960,166.0,14383568,21287681.0,20.9,112.21,86648.0,1.48,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
203,West,1960,85.0,11416669,10845836.0,16.59,89.07,134314.0,0.95,13,"AK,AZ,CA,CO,HI,ID,MT,NV,NM,OR,UT,WA,WY"
204,Nat'l Average,1960,537.0,68832482,68832482.0,100.0,537.0,128180.0,1.0,50,All 49
205,Midwest,1964,149.0,22209002,19543922.0,31.44,169.15,149054.0,0.88,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
206,Northeast,1964,126.0,19619090,16480036.0,27.77,149.42,155707.0,0.84,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
207,South,1964,168.0,16599280,22077042.0,23.5,126.42,98805.0,1.33,17,"AL,AR,DE,DC,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
