,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
1833,MI,Michigan,Union,2000,18.0,4232501,3512976.0,4.02,21.6,235139.0,0.83,Democrat
1834,MN,Minnesota,Union,2000,10.0,2438685,1950948.0,2.31,12.45,243868.0,0.8,Democrat
1835,MS,Mississippi,Confederate,2000,7.0,994184,1371974.0,0.94,5.07,142026.0,1.38,Republican
1836,MO,Missouri,Border,2000,11.0,2359892,2147502.0,2.24,12.05,214536.0,0.91,Republican
1837,MT,Montana,Small,2000,3.0,410997,587726.0,0.39,2.1,136999.0,1.43,Republican
1838,NV,Nevada,Small,2000,4.0,608970,785571.0,0.58,3.11,152242.0,1.29,Republican
1839,NH,New Hampshire,Small,2000,4.0,569081,785332.0,0.54,2.9,142270.0,1.38,Republican
1840,NJ,New Jersey,Union,2000,15.0,3187226,2932248.0,3.02,16.27,212482.0,0.92,Democrat
1841,NM,New Mexico,Post-War,2000,5.0,598605,981712.0,0.57,3.06,119721.0,1.64,Democrat
1842,NY,New York,Union,2000,33.0,6821999,6480899.0,6.47,34.82,206727.0,0.95,Democrat
1843,NC,North Carolina,Confederate,2000,14.0,2911262,2736586.0,2.76,14.86,207947.0,0.94,Republican
1844,ND,North Dakota,Small,2000,3.0,288256,588042.0,0.27,1.47,96085.0,2.04,Republican
1845,OH,Ohio,Union,2000,21.0,4705457,4093748.0,4.46,24.02,224069.0,0.87,Republican
1846,OK,Oklahoma,Post-War,2000,8.0,1234229,1567471.0,1.17,6.3,154279.0,1.27,Republican
1847,OR,Oregon,Union,2000,7.0,1533968,1365232.0,1.46,7.83,219138.0,0.89,Democrat
1848,PA,Pennsylvania,Union,2000,23.0,4913119,4520069.0,4.66,25.08,213614.0,0.92,Democrat
1849,RI,Rhode Island,Small,2000,4.0,409112,785495.0,0.39,2.09,102278.0,1.92,Democrat
1850,SC,South Carolina,Confederate,2000,8.0,1382717,1562470.0,1.31,7.06,172840.0,1.13,Republican
1851,SD,South Dakota,Small,2000,3.0,316269,588260.0,0.3,1.61,105423.0,1.86,Republican
1852,TN,Tennessee,Confederate,2000,11.0,2076181,2159228.0,1.97,10.6,188744.0,1.04,Republican
1853,TX,Texas,Confederate,2000,32.0,6407637,6279484.0,6.08,32.71,200239.0,0.98,Republican
1854,UT,Utah,Post-War,2000,5.0,770754,978858.0,0.73,3.93,154151.0,1.27,Republican
